Absorption,Concentration
0.20690745,0.144564157
0.21397675,0.149503406
0.21331715,0.14904255
0.21751779,0.151977495
0.21751314,0.151974246
0.19990669,0.139672797
0.20961351,0.146454854
0.21283348,0.148704615
0.21627699,0.151110561
0.20682117,0.144503874
0.21283348,0.148704615
0.21531283,0.150436912
0.20422717,0.142691472
0.21372755,0.149329293
0.21004329,0.146755137
0.20708006,0.144684758
0.21092247,0.147369411
0.21133978,0.147660982
0.2144617,0.149842236
0.21223998,0.148289942
0.2095998,0.146445275
0.21111502,0.147503944
0.21185395,0.148020227
0.20688928,0.144551462
0.21005702,0.14676473
0.21250672,0.148476311
0.20766654,0.145094526
0.21713169,0.151707731
0.21392597,0.149467927
0.21050097,0.147074914
0.21503048,0.150239637
0.21181721,0.147994557
0.20825837,0.145508031
0.21067044,0.147193321
0.21507212,0.15026873
0.21089955,0.147353397
0.21397213,0.149500178
0.21381983,0.149393768
0.20750279,0.144980115
0.21113337,0.147516765
0.21447556,0.14985192
0.2142307,0.149680838
0.22004283,0.153741715
0.21375985,0.14935186
0.21150958,0.147779619
0.21530357,0.150430442
0.2138429,0.149409886
0.21461885,0.149952035
0.21462347,0.149955263
0.21762484,0.15205229
0.2078076,0.145193083
0.21307755,0.148875144
0.21226297,0.148306005
0.21610069,0.150987382
0.21747591,0.151948234
0.20595931,0.143901701
0.21332176,0.149045771
0.21398598,0.149509855
0.21708985,0.151678498
0.2141291,0.149609852
0.21037735,0.146988541
0.21502585,0.150236402
0.21014852,0.14682866
0.20877346,0.14586792
0.21835629,0.152563347
0.21187692,0.148036276
0.2193693,0.153271127
0.20686203,0.144532423
0.21518783,0.150349576
0.2117575,0.147952838
0.21518783,0.150349576
0.21769933,0.152104335
0.21649051,0.151259745
0.2153082,0.150433677
0.21543323,0.150521034
0.21249292,0.148466669
0.21862215,0.1527491
0.21147745,0.14775717
0.21407831,0.149574365
0.21400906,0.149525981
0.22060022,0.154131158
0.21306834,0.148868709
0.20839506,0.145603535
0.21646265,0.151240279
0.21470207,0.15001018
0.21419375,0.149655022
0.21363991,0.149268059
0.21133519,0.147657775
0.21338169,0.149087644
0.20937137,0.146285673
0.21239633,0.148399183
0.20977349,0.146566631
0.21590591,0.150851291
0.21000212,0.146726372
0.20861842,0.145759595
0.21342779,0.149119853
0.215892,0.150841572
0.20909742,0.146094267
0.21649051,0.151259745
0.20834949,0.145571696
0.21886016,0.152915396
0.21771329,0.152114089
0.20793959,0.145285303
0.21508138,0.1502752
0.2138429,0.149409886
0.21363068,0.14926161
0.2098695,0.146633712
0.20331638,0.142055113
0.21529431,0.150423972
0.21528505,0.150417502
0.22023948,0.153879113
0.20701191,0.144637142
0.21599401,0.150912845
0.21340013,0.149100528
0.21520635,0.150362515
0.2090107,0.146033677
0.21251592,0.148482739
0.21691786,0.15155833
0.22023479,0.153875836
0.21217562,0.148244975
0.21575756,0.15074764
0.21296701,0.148797911
0.21654623,0.151298676
0.20846798,0.145654484
0.2092709,0.146215476
0.21083997,0.147311769
0.21846821,0.152641544
0.21215723,0.148232126
0.2168528,0.151512873
0.21070709,0.147218928
0.21915436,0.15312095
0.21008904,0.146787102
0.20814905,0.145431651
0.21518783,0.150349576
0.21749917,0.151964486
0.2170852,0.151675249
0.2091385,0.146122969
0.21868747,0.152794739
0.21650908,0.15127272
0.21813253,0.152407008
0.21659731,0.151334365
0.21302228,0.148836528
0.22165607,0.15486887
0.21202395,0.148139004
0.21283808,0.148707829
0.21510452,0.150291368
0.21665304,0.151373303
0.2198182,0.153584769
0.21274141,0.148640286
0.20884189,0.145915731
0.22255439,0.155496517
0.21225837,0.148302791
0.21269998,0.14861134
0.21152335,0.14778924
0.2135615,0.149213275
0.21244692,0.148434529
0.21414295,0.149619528
0.21714564,0.151717478
0.22466876,0.156973806
0.2139352,0.149474376
0.21336786,0.149077981
0.21527579,0.150411032
0.2090746,0.146078323
0.21579001,0.150770313
0.21626307,0.151100835
0.21886016,0.152915396
0.21388443,0.149438903
0.21525264,0.150394858
0.21351078,0.149177838
0.21060631,0.147148514
0.21599401,0.150912845
0.21518783,0.150349576
0.22015519,0.15382022
0.21108751,0.147484723
0.2189442,0.152974114
0.21833297,0.152547053
0.21691786,0.15155833
0.21103707,0.147449481
0.21172995,0.14793359
0.21251592,0.148482739
0.21714099,0.151714229
0.20940791,0.146311203
0.20778939,0.14518036
0.21738285,0.151883214
0.21757364,0.152016517
0.2116978,0.147911127
0.21816981,0.152433055
0.21062463,0.147161314
0.21658338,0.151324632
0.20954497,0.146406966
0.2149657,0.150194376
0.21832365,0.152540541
0.21264936,0.148575972
0.21117464,0.1475456
0.21503048,0.150239637
0.21865014,0.152768657
0.21609141,0.150980898
0.21312362,0.148907333
0.20901983,0.146040056
0.21210207,0.148193586
0.2172433,0.151785712
0.21893486,0.152967588
0.21523875,0.150385153
0.21640695,0.151201362
0.21066586,0.147190121
0.2171131,0.151694742
0.21766674,0.152081565
0.2135984,0.149239057
0.21641623,0.151207846
0.21139484,0.147699452
0.22511371,0.157284688
0.21104166,0.147452688
0.22254498,0.155489942
0.21219401,0.148257824
0.21253893,0.148498816
0.21804399,0.152345146
0.21148663,0.147763584
0.21842623,0.152612213
0.21458187,0.149926197
0.21676917,0.151454442
0.21246072,0.148444171
0.21692251,0.151561579
0.21563244,0.15066022
0.21513692,0.150314005
0.21938799,0.153284185
0.21015309,0.146831853
0.2215997,0.154829485
0.21757364,0.152016517
0.21160597,0.147846966
0.21868281,0.152791483
0.21388905,0.149442131
0.21789491,0.152240985
0.21539155,0.150491913
0.21114254,0.147523172
